Base Folder,Mesh Folder,Chamfer Distance,Hausdorff Distance
000,./000/02691156_222c0d99446148babe4274edc10c1c8e.obj,inf,inf
000,./000/copper_Robot_with_glowing_eyes,0.3660035402581668,0.5830104292151749
000,./000/.DS_Store,inf,inf
000,./000/A_snowy_owl_with_silver_feathers_singing,0.2861698878283146,0.4850222441977133
000,./000/Silver_Rocket,0.346934353611903,0.6233514217264623
000,./000/a_red_mushroom,0.4418266304746009,0.7356431233027978
000,./000/jewellery_with_gold_and_silver,0.2866150985837184,0.5232262843671146
000,./000/A_talking_cactus_with_a_sombrero,0.3400552185818818,0.6561496174283729
000,./000/Dragon,0.3668662984337798,0.5724296969837488
000,./000/Spaceship,0.315138483282758,0.5650009063405184
001,./001/copper_Robot_with_glowing_eyes,0.3297161356324918,0.5953571859710133
001,./001/.DS_Store,inf,inf
001,./001/A_snowy_owl_with_silver_feathers_singing,0.2904420632974482,0.6077780988812165
001,./001/Silver_Rocket,0.1912724466123118,0.6070457334563301
001,./001/02747177_64976ee2a69d3202956c23e7ddc28c00.obj,inf,inf
001,./001/a_red_mushroom,0.2222086599163199,0.6092192949394702
001,./001/jewellery_with_gold_and_silver,0.3108624837263322,0.4065847086089908
001,./001/A_talking_cactus_with_a_sombrero,0.2076238700757444,0.6098045970810015
001,./001/Dragon,0.1501029873353917,0.6104585869512027
001,./001/Spaceship,0.2243977210637174,0.6097581929294827
002,./002/02808440_d5d3d361bdf7245e75519658e0efffee.obj,inf,inf
002,./002/copper_Robot_with_glowing_eyes,0.3674105086694919,0.4776898117300139
002,./002/.DS_Store,inf,inf
002,./002/A_snowy_owl_with_silver_feathers_singing,0.2985767705668001,0.4277906618322032
002,./002/Silver_Rocket,0.4598868381542046,0.6141613256800339
002,./002/a_red_mushroom,0.3948086606924306,0.4089437454082473
002,./002/jewellery_with_gold_and_silver,0.420247770716788,0.561651766184452
002,./002/A_talking_cactus_with_a_sombrero,0.3791898546557971,0.4619401899141614
002,./002/Dragon,0.3717650182720464,0.5530174384201045
002,./002/Spaceship,0.3204529026906352,0.4143802809484184
003,./003/copper_Robot_with_glowing_eyes,0.4773815560376132,0.6564217215748289
003,./003/.DS_Store,inf,inf
003,./003/A_snowy_owl_with_silver_feathers_singing,0.1599771552886922,0.3344575556639426
003,./003/Silver_Rocket,0.182081387865517,0.2688466863042407
003,./003/a_red_mushroom,0.2154041601200592,0.2980062103890026
003,./003/jewellery_with_gold_and_silver,0.2163631626481303,0.3338903586391153
003,./003/A_talking_cactus_with_a_sombrero,0.1572783941801902,0.2726436277556177
003,./003/Dragon,0.1323612193603113,0.2244228456658041
003,./003/Spaceship,0.1699318334548846,0.2641071119292897
003,./003/02828884_d3b2e0d1482ead96f4fb4dee5181bee.obj,inf,inf
004,./004/copper_Robot_with_glowing_eyes,0.7658148102419475,0.8327706995049953
004,./004/.DS_Store,inf,inf
004,./004/A_snowy_owl_with_silver_feathers_singing,0.3831527055735973,0.4836217123932373
004,./004/Silver_Rocket,0.4484827124840937,0.5402422002528954
004,./004/a_red_mushroom,0.7619200055118411,0.8422207828101037
004,./004/jewellery_with_gold_and_silver,0.7095721379643143,0.7849493379107255
004,./004/02843684_b6348429292d990be67195cc1ecf4787.obj,inf,inf
004,./004/A_talking_cactus_with_a_sombrero,0.6257830058882944,0.7756409315719607
004,./004/Dragon,0.6366705708054485,0.7628852093546824
004,./004/Spaceship,0.431051333638384,0.5768685563317824
005,./005/02871439_be99f079debaeed9a0fa21f3ff15b515.obj,inf,inf
005,./005/copper_Robot_with_glowing_eyes,0.336258371221503,0.4776183501982568
005,./005/.DS_Store,inf,inf
005,./005/A_snowy_owl_with_silver_feathers_singing,0.2175330655140161,0.3580501682936681
005,./005/Silver_Rocket,0.2245413722099062,0.3827239493268786
005,./005/a_red_mushroom,0.2333676916093426,0.3727385475692124
005,./005/jewellery_with_gold_and_silver,0.2359086548917149,0.4342662294970207
005,./005/A_talking_cactus_with_a_sombrero,0.1994884656839673,0.3054156516583265
005,./005/Dragon,0.2466230986287313,0.3501586118426881
005,./005/Spaceship,0.2674402432936755,0.3618082982760613
006,./006/copper_Robot_with_glowing_eyes,0.3161591614908665,0.4791334842461041
006,./006/.DS_Store,inf,inf
006,./006/A_snowy_owl_with_silver_feathers_singing,0.3674121252403471,0.6555811993897889
006,./006/Silver_Rocket,0.2891070608526596,0.4900097015029115
006,./006/02871439_e7e3aacb7ef4ef00f11caac3db6956bf.obj,inf,inf
006,./006/a_red_mushroom,0.2991857147453979,0.5114561909764028
006,./006/jewellery_with_gold_and_silver,0.2747741363419068,0.4786785989849922
006,./006/A_talking_cactus_with_a_sombrero,0.302906845624369,0.5027737212927952
006,./006/Dragon,0.2561121137930897,0.3702568288794908
006,./006/Spaceship,0.3274634363131094,0.4840700521385424
007,./007/copper_Robot_with_glowing_eyes,0.6610740680285818,0.8462198280940537
007,./007/A_snowy_owl_with_silver_feathers_singing,0.551664985065923,0.7783215654042629
007,./007/Silver_Rocket,0.685735634637262,0.7937206949375452
007,./007/a_red_mushroom,0.6514030562126587,0.7776769724395016
007,./007/jewellery_with_gold_and_silver,0.7201953366081519,0.8336206758320243
007,./007/A_talking_cactus_with_a_sombrero,0.6109151223128675,0.7008784365140073
007,./007/Dragon,0.6359755257145997,0.8098625891756527
007,./007/Spaceship,0.7106624411605904,0.8546438712801586
008,./008/copper_Robot_with_glowing_eyes,0.4125101683720038,0.5756376814298264
008,./008/A_snowy_owl_with_silver_feathers_singing,0.6409710519926832,0.8793662187846332
008,./008/Silver_Rocket,0.7271497118535648,0.7992397285792868
008,./008/a_red_mushroom,0.632083490089912,0.7981171651900448
008,./008/jewellery_with_gold_and_silver,0.5000586560767177,0.6544905464169684
008,./008/A_talking_cactus_with_a_sombrero,0.7676047536228621,0.8819011346986703
008,./008/Dragon,0.7251832011087164,0.916505989084558
008,./008/Spaceship,0.7311188288816253,0.8156027894757536
009,./009/copper_Robot_with_glowing_eyes,0.2135997154005526,0.6109107091249795
009,./009/A_snowy_owl_with_silver_feathers_singing,0.7442438529030992,0.7233548643498185
009,./009/Silver_Rocket,0.2463829855160466,0.6072431922330818
009,./009/a_red_mushroom,0.2065450851714032,0.620061650360927
009,./009/jewellery_with_gold_and_silver,0.2240724150452636,0.6141185410864367
009,./009/A_talking_cactus_with_a_sombrero,0.268462964540348,0.6170477450972213
009,./009/Dragon,0.2533572828686011,0.6778559332469442
009,./009/Spaceship,0.2046704852263623,0.6273266753886863
010,./010/copper_Robot_with_glowing_eyes,0.1607167520238271,0.244130545255803
010,./010/A_snowy_owl_with_silver_feathers_singing,0.2200026204008452,0.3424392067318846
010,./010/Silver_Rocket,0.1538516727534138,0.2715023769443417
010,./010/a_red_mushroom,0.2423306841889488,0.2950971724605803
010,./010/jewellery_with_gold_and_silver,0.1851225702833594,0.2001295374061237
010,./010/A_talking_cactus_with_a_sombrero,0.2226178002384721,0.353583529670062
010,./010/Dragon,0.2435734422724374,0.4045003546478363
010,./010/Spaceship,0.2464960538145341,0.3076914867486716
011,./011/copper_Robot_with_glowing_eyes,0.1605010473873573,0.1641160623993726
011,./011/A_snowy_owl_with_silver_feathers_singing,0.199020409941397,0.2780587839364143
011,./011/Silver_Rocket,0.1911833091078441,0.1998679234359932
011,./011/a_red_mushroom,0.1675313901051111,0.1802791464013847
011,./011/jewellery_with_gold_and_silver,0.1673969206886439,0.1841764533461287
011,./011/A_talking_cactus_with_a_sombrero,0.1791906693441441,0.1901931284524922
011,./011/Dragon,0.2497006017676707,0.5320380696693492
011,./011/Spaceship,0.1837406658659865,0.1798763961424926
012,./012/copper_Robot_with_glowing_eyes,0.3486804826087821,0.4980252296638152
012,./012/A_snowy_owl_with_silver_feathers_singing,0.3042607172732596,0.5250135875939231
012,./012/Silver_Rocket,0.4378293998904264,0.6607679057304999
012,./012/a_red_mushroom,0.3182164997700561,0.5678588375272178
012,./012/jewellery_with_gold_and_silver,0.3909924046729506,0.7186254477235132
012,./012/A_talking_cactus_with_a_sombrero,0.3172970660521596,0.5945541323729215
012,./012/Dragon,0.3213089892455884,0.5820577688437836
012,./012/Spaceship,0.3959208215789673,0.5777587055731869
013,./013/copper_Robot_with_glowing_eyes,0.4543060930328632,0.7309553070910174
013,./013/A_snowy_owl_with_silver_feathers_singing,0.538042064763018,0.6432610119744046
013,./013/Silver_Rocket,0.2541455928618834,0.5727841279115143
013,./013/a_red_mushroom,0.4703853381151349,0.6426731882678146
013,./013/jewellery_with_gold_and_silver,0.5063154569674465,0.6412933957982999
013,./013/A_talking_cactus_with_a_sombrero,0.5522118181494491,0.7990356126712163
013,./013/Dragon,0.3390293932074817,0.4970404974115735
013,./013/Spaceship,0.4442148023499593,0.6448566212642884
014,./014/copper_Robot_with_glowing_eyes,0.4369608637329786,0.5404094231788514
014,./014/A_snowy_owl_with_silver_feathers_singing,0.373320884783202,0.4552760220009181
014,./014/Silver_Rocket,0.4315223753187169,0.4731474047138538
014,./014/a_red_mushroom,0.3997636606997397,0.4765124941418437
014,./014/jewellery_with_gold_and_silver,0.3825836116738818,0.5208377411635492
014,./014/A_talking_cactus_with_a_sombrero,1.720061335995315,1.2544451910298915
014,./014/Dragon,0.4319405876351256,0.5011629495653739
014,./014/Spaceship,0.4277900018092703,0.5084845722301725
015,./015/copper_Robot_with_glowing_eyes,0.7668252780764657,0.7421542862291431
015,./015/A_snowy_owl_with_silver_feathers_singing,0.5066457897256359,0.4776216554547591
015,./015/Silver_Rocket,0.1687850041157028,0.4090492920203851
015,./015/a_red_mushroom,0.3704047897035668,0.5254156138917271
015,./015/jewellery_with_gold_and_silver,0.4065759777805447,0.4439561076927575
015,./015/A_talking_cactus_with_a_sombrero,0.1199702634470941,0.1865942848496434
015,./015/Dragon,0.1325472054307626,0.1793623442884016
015,./015/Spaceship,0.0953049096109672,0.1558067298783695
016,./016/copper_Robot_with_glowing_eyes,0.2584045061690097,0.3018839359127758
016,./016/A_snowy_owl_with_silver_feathers_singing,0.2015568570427528,0.315728989418456
016,./016/Silver_Rocket,0.287056558581758,0.367626275881546
016,./016/a_red_mushroom,0.3695516865770599,0.4532818826860771
016,./016/jewellery_with_gold_and_silver,0.1603158700015559,0.2426699199700155
016,./016/A_talking_cactus_with_a_sombrero,0.273872082525172,0.4390473778954989
016,./016/Dragon,0.1974773169286335,0.261827859907322
016,./016/Spaceship,0.242479448243648,0.2787107680123206
017,./017/copper_Robot_with_glowing_eyes,0.5517372970225158,0.7369101613541479
017,./017/A_snowy_owl_with_silver_feathers_singing,0.312305038683428,0.5802820742542605
017,./017/Silver_Rocket,0.4414900003994659,0.4677427573673516
017,./017/a_red_mushroom,0.352447962086737,0.505010758916891
017,./017/jewellery_with_gold_and_silver,0.4009301176179595,0.72908905738678
017,./017/A_talking_cactus_with_a_sombrero,0.2563004384911484,0.31236616059662
